number,group,code,taxon,category,BZW,bullaL,bullaW,perioticL,perioticW
1,Mysticeti,Af3,B.bonaerensis,late,101.518,31.748,19.9366,17.43,22.56
2,Mysticeti,Af4,B.bonaerensis,late,131.509,36.34,21.9,22.2,26.1
3,Mysticeti,Af5,B.bonaerensis,late,152.494,41.859,27.995,30.77,25.37
4,Mysticeti,Af6,B.bonaerensis,late,166.68,46.65,32.11,29.8,23.28
5,Mysticeti,Af7,B.bonaerensis,late,256.241,78.1,45.588,63.78,38.67
6,Mysticeti,Af8,B.bonaerensis,late,236.606,77.74,45.99,85.99,37.1
7,Mysticeti,Be3,B.musculus,early,88.555,24.3,17.79,NA,NA
8,Mysticeti,Bf1,B.musculus,early,235,72.36,39.62,43.1,33.1
9,Mysticeti,Ff1,B.physalus,early,86.164,25.46,14.84,NA,NA
10,Mysticeti,Ff3,B.physalus,early,74.812,16.48,10.87,NA,NA
11,Mysticeti,Ff4,B.physalus,early,81.025,22.88,12.17,NA,NA
12,Mysticeti,Ff5,B.physalus,early,104.119,24.76,15.51,NA,NA
13,Mysticeti,Ff6,B.physalus,early,165.459,46.62,38.7,22.85,29.38
14,Mysticeti,Ff7,B.physalus,early,185.798,53.96,41.918,37.7,30.48
15,Mysticeti,Gf1,Eschrichtius,early,19,3.77,3.49,NA,NA
16,Mysticeti,Gn1,Eschrichtius,born,393.014,81.676,56.02,81.25,49.98
17,Mysticeti,Hf3,Megaptera,early,59.53,9.62,5.52,NA,NA
18,Mysticeti,Hf4,Megaptera,early,61.146,28.09,15.33,NA,NA
19,Mysticeti,Hf6,Megaptera,early,85.681,16.77,14.62,NA,NA
20,Mysticeti,Hf8,Megaptera,early,100.137,25.41,14.94,19.18,22.06
21,Mysticeti,Hf9,Megaptera,early,118.737,23.67,11.35,13.13,23.61
22,Mysticeti,Mf1,B.acutorostrata,early,78.87,22.25,16.71,NA,NA
23,Mysticeti,Mf2,B.acutorostrata,late,165.22,76.52,34.1,48.36,27.45
24,Mysticeti,Mn1,B.acutorostrata,born,397.478,77.12,48.4085,74.34,44.64
25,Mysticeti,Pn1,C.marginata,born,197.69,91.65,59.48,71.58,39.43
26,Mysticeti,Sf1,B.borealis,early,88.756,28.78,13.17,NA,NA
27,Mysticeti,Sf2,B.borealis,early,132,41.08,21.69,24.4,25.5
28,Mysticeti,Wf1,Balaena,early,177.394,42.41,37.21,33.77,31.5
29,Odontoceti,Ddef1,D.delphis,late,108.58,29.763,16.756,25.13,18.96
30,Odontoceti,Ddef2,D.delphis,late,103.142,30.608,17.21,27.59,19.75
31,Odontoceti,Delf1,Delphinapterus,early,21.72,6.76,3.86,NA,NA
32,Odontoceti,Delf2,Delphinapterus,early,35.36,9.75,4.8,NA,NA
33,Odontoceti,Delf3,Delphinapterus,early,37.2,12.16,6.88,NA,NA
34,Odontoceti,Gloe1,Globicephala,early,20.31,5.66,4.33,NA,NA
35,Odontoceti,Glof1,Globicephala,early,28.86,6.41,4.9,NA,NA
36,Odontoceti,Glof2,Globicephala,early,49.55,13.44,9.86,NA,NA
37,Odontoceti,Glof3,Globicephala,late,102.04,29.77,16.76,21.19,17.6
38,Odontoceti,Glof4,Globicephala,late,150.218,38.05,21.29,36.63,23.96
39,Odontoceti,Kogf1,K.breviceps,early,39.28,11.83,8.02,NA,NA
40,Odontoceti,Kogf2,K.breviceps,early,47.66,15.3,9.2,8.03,9.75
41,Odontoceti,Laga1,L.acutus,born,224.55,32.9,17.56,30.86,19.46
42,Odontoceti,Lagf1,L.acutus,early,48.88,15.69,9.55,13.3,11.7
43,Odontoceti,Lagf2,L.acutus,early,60.81,19.54,11.32,15.91,15.86
44,Odontoceti,Lagf3,L.acutus,late,73.5,19.64,14.06,18.48,14.61
45,Odontoceti,Monf1,Monodon,early,38.22,12.61,7.92,10.42,9.51
46,Odontoceti,Monf2,Monodon,early,47.49,16.39,9.53,NA,NA
47,Odontoceti,Neof1,Neophocaena,late,72.56,22.12,15.97,20.34,18.1
48,Odontoceti,Phoa1,Ph.phocoena,born,135.57,27.2,18.86,27.67,15.4
49,Odontoceti,Phoa2,Ph.phocoena,born,135.57,27.56,18.67,27.47,15.37
50,Odontoceti,Phoa3,Ph.phocoena,born,146.98,29.68,19.16,28.89,14.91
51,Odontoceti,Phof1,Ph.phocoena,early,38.44,15.86,8.97,8.79,10.91
52,Odontoceti,Phof3,Ph.phocoena,early,32.17,9.51,8.36,NA,NA
53,Odontoceti,Phof4,Ph.phocoena,early,43.67,12.65,7.51,NA,NA
54,Odontoceti,Phof5,Ph.phocoena,early,40.39,15.55,9.47,12.33,11.95
55,Odontoceti,Phof6,Ph.phocoena,early,53.85,18.73,10.84,17.68,13.23
56,Odontoceti,Phof7,Ph.phocoena,late,62.55,25.15,17.72,24.13,13.72
57,Odontoceti,Phof8,Ph.phocoena,late,77.58,27.62,18.02,25.27,14.25
58,Odontoceti,Phof9,Ph.phocoena,late,83.06,26.98,17.65,27.63,15.03
59,Odontoceti,Phye1,Physter,early,28.96,5.63,3.68,NA,NA
60,Odontoceti,Phye2,Physter,early,28.96,7.61,4.18,NA,NA
61,Odontoceti,Phye3,Physter,early,28.08,8.53,4.52,NA,NA
62,Odontoceti,Phyf2,Physter,early,58.18,16.04,9.86,NA,NA
63,Odontoceti,Psef1,Pseudorca,early,45.47,13.87,9.11,NA,NA
64,Odontoceti,Staf1,St.attenuata,late,46.45,13,8.56,12.26,12.09
65,Odontoceti,Staf2,St.attenuata,early,26.34,6.58,5.14,NA,NA
66,Odontoceti,Staf3,St.attenuata,early,32.16,11.94,6.13,NA,NA
67,Odontoceti,Staf4,St.attenuata,early,42.047,14.71,8.77,8.29,11.7
68,Odontoceti,Staf5,St.attenuata,early,45.36,14.92,8.47,14.44,13.78
69,Odontoceti,Staf6,St.attenuata,late,77.65,23.55,15.92,21.36,15.21
70,Odontoceti,Staj1,St.attenuata,born,123.337,26.7,14.95,25.82,17.92
71,Odontoceti,Stan1,St.attenuata,born,90.544,26.74,16.9,24.43,17.74
72,Odontoceti,Stln1,St.attenuata,born,96.87,25.85,13.45,23.63,17.49
73,Odontoceti,Stln2,St.attenuata,born,95.64,28.41,16.2,29.47,19.61
74,Odontoceti,Ttrf1,T.truncatus,early,38.56,13.72,6.96,NA,NA
75,Odontoceti,Ttrf2,T.truncatus,late,89.83,26.23,19.42,29.28,21.92
